Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
1562002036.49043,1.632,-6.395,99.215,0,-101.739288330078,-743.013305664063,0,67,-45,177,0,240,2136,2056,2564,41,90,-5
1562002036.49045,1.633,-6.386,99.213,0,-100.544219970703,-744.940551757813,0,72,-54,182,0,240,2132,2052,2560,39,92,-6
1562002036.49047,1.635,-6.378,99.213,0,-99.3973999023438,-746.865173339844,0,72,-54,182,0,240,2128,2056,2560,36,78,-12
1562002036.49048,1.636,-6.371,99.213,0,-98.4363861083984,-748.753479003906,0,70,-58,186,0,240,2116,2056,2564,37,70,-14
1562002036.4905,1.639,-6.364,99.214,0,-97.7952041625977,-750.610229492188,0,70,-58,186,0,240,2116,2052,2556,40,76,-12
1562002036.49052,1.639,-6.358,99.215,0,-97.5515365600586,-752.445556640625,0,55,-57,183,0,240,2108,2056,2564,33,74,-9
1562002036.49053,1.638,-6.352,99.215,0,-97.6176452636719,-754.2265625,0,55,-57,183,0,240,2100,2048,2568,37,74,-3
1562002036.49055,1.634,-6.346,99.214,0,-97.952018737793,-755.954284667969,0,66,-44,182,0,240,2100,2048,2560,33,80,3
1562002036.49057,1.628,-6.342,99.211,0,-98.5153198242188,-757.557373046875,0,66,-44,182,0,240,2092,2052,2568,31,72,2
1562002036.49058,1.62,-6.339,99.207,0,-99.2162094116211,-759.088195800781,0,72,-50,186,0,240,2092,2044,2564,34,76,10
1562002036.4906,1.611,-6.336,99.202,0,-100.16667175293,-760.643920898438,0,72,-50,186,0,240,2088,2052,2568,27,64,14
1562002036.49062,1.603,-6.332,99.195,0,-101.168022155762,-762.1474609375,0,71,-53,189,0,240,2084,2048,2572,41,55,20
1562002036.49063,1.597,-6.329,99.186,0,-102.27872467041,-763.741333007813,0,71,-53,189,0,240,2088,2044,2564,37,54,25
1562002036.49065,1.592,-6.324,99.175,0,-103.374839782715,-765.222351074219,0,56,-50,184,0,240,2088,2048,2568,30,57,33
1562002036.49066,1.588,-6.321,99.162,0,-104.354019165039,-766.656799316406,0,56,-50,184,0,240,2088,2044,2568,35,43,41
1562002036.49068,1.585,-6.318,99.147,0,-105.273460388184,-768.101013183594,0,66,-46,180,0,240,2092,2048,2564,31,52,49
1562002036.4907,1.583,-6.316,99.129,0,-106.001159667969,-769.467468261719,0,66,-46,180,0,240,2092,2048,2568,33,47,56
1562002036.49071,1.581,-6.314,99.109,0,-106.662002563477,-770.97314453125,0,70,-48,180,0,240,2092,2044,2564,39,49,68
1562002036.49073,1.578,-6.311,99.086,0,-107.225143432617,-772.378601074219,0,70,-48,180,0,240,2096,2044,2560,35,56,72
1562002036.49075,1.576,-6.308,99.06,0,-107.656768798828,-773.789733886719,0,63,-53,173,0,240,2100,2048,2564,38,50,73
1562002036.49076,1.573,-6.305,99.034,0,-107.993377685547,-775.157958984375,0,63,-53,173,0,240,2100,2044,2564,35,49,73
1562002036.49078,1.572,-6.302,99.007,0,-108.132041931152,-776.502746582031,0,71,-45,181,0,240,2104,2048,2564,31,55,82
1562002036.49079,1.571,-6.3,98.98,0,-108.165489196777,-777.941711425781,0,71,-45,181,0,240,2104,2048,2564,31,58,86
1562002036.49081,1.571,-6.298,98.952,0,-108.099510192871,-779.404846191406,0,59,-51,187,0,240,2104,2048,2564,29,54,80
1562002036.49083,1.57,-6.297,98.923,0,-107.996459960938,-780.906372070313,0,59,-51,187,0,240,2104,2048,2568,31,50,79
1562002036.49084,1.569,-6.295,98.894,0,-107.877304077148,-782.398742675781,0,73,-49,179,0,240,2108,2048,2564,33,55,81
1562002036.49086,1.569,-6.293,98.866,0,-107.702606201172,-783.908935546875,0,73,-49,179,0,240,2108,2052,2560,29,55,80
1562002036.49088,1.57,-6.291,98.838,0,-107.466361999512,-785.445190429688,0,64,-50,174,0,240,2108,2052,2564,28,48,83
1562002036.49089,1.572,-6.288,98.811,0,-107.201774597168,-787.04736328125,0,64,-50,174,0,240,2104,2048,2568,34,48,76
1562002036.49091,1.574,-6.285,98.782,0,-106.978126525879,-788.621459960938,0,65,-55,185,0,240,2104,2048,2564,32,48,77
1562002036.49093,1.575,-6.283,98.755,0,-106.85440826416,-790.185791015625,0,65,-55,185,0,240,2104,2052,2564,29,46,82
1562002036.49094,1.577,-6.28,98.726,0,-106.843872070313,-791.721252441406,0,70,-52,182,0,240,2100,2052,2568,28,47,88
1562002036.49096,1.578,-6.278,98.697,0,-106.839256286621,-793.255126953125,0,70,-52,182,0,240,2104,2048,2568,23,52,90
1562002036.49101,1.577,-6.277,98.667,0,-106.839584350586,-794.817993164063,0,62,-46,182,0,240,2104,2048,2564,24,54,93
1562002036.49104,1.577,-6.277,98.634,0,-106.728126525879,-796.326965332031,0,62,-46,182,0,240,2104,2048,2564,22,52,97
1562002036.49106,1.575,-6.278,98.601,0,-106.599166870117,-797.791809082031,0,71,-51,177,0,240,2104,2048,2564,25,57,105
1562002036.49108,1.574,-6.28,98.566,0,-106.418388366699,-799.168518066406,0,71,-51,177,0,240,2104,2044,2564,22,58,113
1562002036.49109,1.571,-6.281,98.53,0,-106.176048278809,-800.508056640625,0,68,-54,180,0,240,2108,2044,2564,22,59,118
1562002036.49111,1.568,-6.283,98.491,0,-105.891471862793,-801.775695800781,0,68,-54,180,0,240,2108,2040,2564,18,66,118
1562002036.49113,1.565,-6.287,98.452,0,-105.460746765137,-802.967834472656,0,69,-57,185,0,240,2108,2040,2564,22,65,121
